id,name,year,rating,runtime,genres,url,seed,score,x,y,nearest,shared,words,rank,loo_min,loo_max,loo_top20,themes,affinities
58880,Hidden Assets,2021,7.2,56.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/58880/hidden-assets,False,43.28,48.79,29.35,Breaking Bad,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Power / ambition', 'Danger / survival']","['financial', 'drug', 'family', 'power', 'world']",13,6,31,5,"[1, 1, 1, 1, 1, 1, 0, 1, 0, 0, 0, 0]","[48.37, 49.07, 48.94, 24.57, 34.14, 37.54]"
51246,Telltale,1993,,50.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/51246/telltale,False,43.18,45.78,26.94,Ozark,"['Crime / illicit enterprise', 'Family ties', 'Danger / survival']",['family'],14,9,44,5,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[56.17, 50.81, 30.37, 18.44, 35.44, 28.54]"
53147,Black Bird,2022,8.0,58.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/53147/black-bird,False,43.12,44.66,28.98,Breaking Bad,"['Crime / illicit enterprise', 'Family ties', 'Danger / survival', 'Friendship / youth']","['security', 'enter', 'given', 'drug', 'son']",15,7,50,5,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[51.25, 55.97, 26.77, 25.83, 32.13, 26.51]"
81770,Safe Harbor,2025,6.9,52.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/81770/safe-harbor,False,43.1,44.74,29.51,Breaking Bad,"['Crime / illicit enterprise', 'Family ties', 'Danger / survival', 'Friendship / youth']","['drug', 'dangerous', 'family', 'world']",16,6,26,4,"[1, 0, 1, 0, 0, 1, 0, 0, 1, 0, 0, 0]","[53.38, 55.42, 25.42, 26.45, 32.58, 26.07]"
83331,The Westies,2026,7.5,53.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/83331/the-westies,False,43.03,47.63,29.05,Ozark,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Danger / survival']",[],17,9,26,4,"[1, 1, 1, 0, 0, 1, 0, 1, 0, 0, 0, 0]","[51.72, 47.1, 44.07, 26.89, 31.21, 26.54]"
3552,Criminal Justice,2008,7.9,60.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/3552/criminal-justice,False,42.88,44.32,28.45,Breaking Bad,"['Crime / illicit enterprise', 'Family ties', 'Power / ambition', 'Danger / survival']","['follows', 'man', 'crime']",18,10,34,4,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[52.34, 54.76, 25.85, 17.08, 39.82, 35.12]"
79127,M.I.A.,2026,6.8,44.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/79127/mia,False,42.87,44.32,28.36,Breaking Bad,"['Crime / illicit enterprise', 'Family ties', 'Power / ambition', 'Danger / survival']","['drug', 'dangerous', 'family']",19,8,33,4,"[1, 0, 1, 1, 0, 1, 0, 0, 0, 0, 0, 0]","[52.68, 54.88, 25.42, 17.08, 39.64, 34.58]"
67127,Unseen,2023,6.9,44.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/67127/unseen,False,42.39,44.43,26.94,Ozark,"['Crime / illicit enterprise', 'Family ties', 'Danger / survival']",[],20,15,65,4,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[55.31, 49.75, 28.22, 18.44, 35.44, 28.54]"
39441,Carl Weber's The Family Business,2018,5.0,55.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/39441/carl-webers-the-family-business,False,42.22,45.22,26.45,Breaking Bad,"['Crime / illicit enterprise', 'Family ties', 'Power / ambition', 'Danger / survival']","['family', 'drug', 'dangerous', 'live']",21,14,39,3,"[1, 0, 1, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[50.19, 52.33, 33.14, 16.16, 36.73, 40.5]"
47259,Duster,2025,6.4,49.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/47259/duster,False,42.12,43.8,28.93,Ozark,"['Crime / illicit enterprise', 'Family ties', 'Danger / survival']","['dangerous', 'family']",22,17,60,2,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[53.17, 47.46, 30.77, 20.31, 37.54, 30.7]"
299,Power,2014,7.9,60.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/299/power,False,42.1,45.8,29.18,Breaking Bad,"['Crime / illicit enterprise', 'Money / class', 'Family ties', 'Power / ambition', 'Danger / survival']","['kingpin', 'drug', 'new', 'family']",23,13,35,1,"[1, 1, 1, 1, 1, 1, 0, 0, 0, 0, 1, 0]","[47.17, 49.29, 40.93, 23.43, 34.92, 37.09]"
6764,Hap and Leonard,2016,7.6,60.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/6764/hap-and-leonard,False,41.82,44.42,28.09,Breaking Bad,"['Money / class', 'Family ties', 'Danger / survival', 'Friendship / youth']","['white', 'follows', 'wife']",24,13,57,2,"[0, 1, 1, 0, 1, 1, 0, 0, 1, 0, 0, 0]","[48.48, 51.89, 32.89, 33.25, 22.93, 32.16]"
43819,Top Boy,2019,7.5,54.0,"['Drama', 'Crime', 'Thriller']",https://www.tvmaze.com/shows/43819/top-boy,False,41.75,47.45,23.18,Breaking Bad,"['Crime / illicit enterprise', 'Money / class', 'Power / ambition', 'Danger / survival']","['drug', 'power']",25,18,49,1,"[1, 1, 0, 1, 1, 1, 0, 0, 0, 0, 0, 0]","[50.2, 52.0, 40.15, 16.16, 30.2, 31.81]"
42559,Deadwater Fell,2020,7.0,60.0,"['Drama', 'Crime']",https://www.tvmaze.com/shows/42559/deadwater-fell,False,41.65,43.15,28.81,Ozark,"['Crime / illicit enterprise', 'Family ties', 'Danger / survival']","['community', 'family']",26,20,81,1,"[1, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0]","[52.41, 46.25, 30.78, 20.31, 37.32, 31.71]"
